"LOCATION";"INDICATOR";"SUBJECT";"MEASURE";"FREQUENCY";"TIME";"Value";"Flag Codes"
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2000";33.5958677708319;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2001";37.3687292014822;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2002";44.3726470145656;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2003";52.3758635705696;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2004";55.6468976369558;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2005";56.664709342083;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2006";60.5793697475723;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2007";66.9602662033699;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2008";69.6026619787002;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2009";72.4212174665526;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2010";80.8768839401095;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2011";79.1348600623918;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2012";78.88040713486;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2013";84.1064787705132;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2014";91.7204932589649;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2015";100;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2016";105.500097863187;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2017";114.308083789288;
"AUS";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2018";112.663926413804;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2000";58.5838607572212;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2001";59.0818235759494;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2002";59.4186807753165;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2003";59.579786392405;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2004";58.4374011075949;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2005";61.3519481803797;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2006";63.8710541930379;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2007";66.8588310917721;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2008";67.576483386076;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2009";70.2127571202532;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2010";76.7975;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2011";81.5975;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2012";87.57;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2013";92.1;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2014";95.33;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2015";100;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2016";108.5325;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2017";114.2588;
"AUT";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2018";119.640000004108;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2000";50.1144357638266;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2001";52.5419853299417;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2002";55.9050385372971;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2003";59.7605584364211;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2004";64.9525121087456;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2005";72.5361832041196;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2006";79.6153750980577;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2007";85.8185760371272;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2008";89.6052178815592;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2009";89.1830343041225;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2010";91.9777099212033;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2011";95.6758325156487;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2012";97.813519232828;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2013";98.9619326726557;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2014";98.4170000052374;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2015";100;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2016";102.640656934604;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2017";106.373012009044;
"BEL";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2018";109.4151384578;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2000";40.0674256447638;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2001";41.9616738440291;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2002";45.3439858818565;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2003";49.125288932795;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2004";53.1588387059648;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2005";57.4072297938866;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2006";64.1224595494087;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2007";71.5320871258261;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2008";75.4371157553495;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2009";73.3337809194059;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2010";79.8629427505443;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2011";83.8293546128542;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2012";87.8643430555424;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2013";90.124972425501;
"CAN";"HOUSECOST";"NOMINAL";"IDX2015";"A";"2014";94.8840911924653;
